Company Name,Structure,Type,Technical,Safety,Environmental,Societal,Cost,Weight,Size,Diameter,Length ,Metal,Plastic,Concrete,Residues,Position,Decision
Ithaca Energy (UK) Limited,PLU2828,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.085,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Ithaca Energy (UK) Limited,PLU2830,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,0.085,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Ithaca Energy (UK) Limited,PLU2831,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.085,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Ithaca Energy (UK) Limited,PLU2833,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,0.07,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Ithaca Energy (UK) Limited,PLU2834,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.07,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Ithaca Energy (UK) Limited,PLU2836,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.07,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Perenco UK Limited,PLU2048,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,6,29.2,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Perenco UK Limited,PLU2048/JP1,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.07,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Perenco UK Limited,PLU2048/JP2,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,3.3,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Perenco UK Limited,PLU2048/JP3,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,2.6,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Centrica Resources Limited,PLU1988,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,9.4,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Centrica Resources Limited,PLU2568,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,5,5.35,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Centrica Resources Limited,PLU2568,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,5,2.333,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
BP Exploration (Alpha) Limited,PLU1406JCP03/1-3,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.061,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU1406JCP20/1-3,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.031,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU1406JCP21/1-3,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.06,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU1889,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,10,0.255,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
BP Exploration (Alpha) Limited,PLU2176,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.054,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2182,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2183,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.078,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2241,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,12,1.924,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2242,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,10,4.75,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2258,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.152,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
BP Exploration (Alpha) Limited,PLU2260,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.104,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2261,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.03,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2270,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.145,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2278,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.09,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2279,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.147,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2280,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.2,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2282,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.164,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2420,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.06,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2503,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.03,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2734,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.135,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2844,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.146,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU3059,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.13,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU3061,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.089,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU3062,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.079,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU3065,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.068,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU3068,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.28,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU3070,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.145,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
BP Exploration (Alpha) Limited,PLU3072,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.17,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2059,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.125,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU2934,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.073,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
BP Exploration (Alpha) Limited,PLU3053,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.094,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BP Exploration (Alpha) Limited,PLU3055,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.068,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
RockRose UKCS8 LLC,PLU1970,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,12.4,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
RockRose UKCS8 LLC,PLU1970(J)BW,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.03,Yes,Yes,No,Chemicals,Seabed Laid,Partial Removal
RockRose UKCS8 LLC,PLU1977,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.5,0.36,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
Marathon Oil UK LLC,PLU1446,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,8.73,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Marathon Oil UK LLC,PLU1446.12,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.5,0.035,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Marathon Oil UK LLC,PLU1446.13,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.5,0.035,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Marathon Oil UK LLC,PLU1446.14,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.5,0.035,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Marathon Oil UK LLC,PLU1446.15,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.5,0.035,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Marathon Oil UK LLC,PLU1446.16,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.5,0.035,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Marathon Oil UK LLC,PLU1446.17,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.5,0.035,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Marathon Oil UK LLC,PLU1446JV1,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,2.3,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Marathon Oil UK LLC,PLU3798,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,0.035,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Marathon Oil UK LLC,PLU3799,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,0.035,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Marathon Oil UK LLC,PLU3800,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,0.035,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Marathon Oil UK LLC,PLU3801,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,0.04,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Marathon Oil UK LLC,PLU3802,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,0.04,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Marathon Oil UK LLC,PLU3811,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,0.058,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Marathon Oil UK LLC,PLU3813,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,0.2,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Marathon Oil UK LLC,PLU4188,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.5,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
Marathon Oil UK LLC,PLU4189,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.35,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
Marathon Oil UK LLC,PLU4190,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.045,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
Marathon Oil UK LLC,PLU4203,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,0.6,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
Marathon Oil UK LLC,PLU4217,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,7,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
BG Global Energy Limited,PLU2033,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.55,31.4,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
BG Global Energy Limited,PLU2033JAW1,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.59,0.17,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BG Global Energy Limited,PLU2033JAW2,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.59,0.044,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
BG Global Energy Limited,PLU2034,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.55,11.97,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Premier Oil E&P UK Limited,PLU2809,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,5.95,1.833,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Premier Oil E&P UK Limited,PLU2809JSSIV,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,1.97,1832,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2809JP1,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.075,0.13,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2809JP2,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.075,0.11,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2809JP3,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.075,0.11,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2809JP4,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.075,0.11,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2809JW1,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.075,0.11,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2809JW2,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.075,0.11,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4353,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.98,7.9,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4354,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,7.9,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4355,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.75,7.7,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4356,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.665,7.714,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Premier Oil E&P UK Limited,PLU2352,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.5,9.519,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
Premier Oil E&P UK Limited,PLU2600,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.49,0.043,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2601,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.49,0.026,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2328J1,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.63,0.041,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2328J2,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.63,0.042,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2328J3,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.63,0.025,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2328J4,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.49,0.09,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2328J5,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.49,0.09,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2383,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.63,0.09,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2384,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.63,0.09,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2385,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.63,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU2674,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8.74,0.25,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU3764,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,5.236,0.19,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU3765,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.937,0.19,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU3766,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.768,0.19,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU3767,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.768,0.19,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4880,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,1.024,0.15,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4881,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,1.024,0.15,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4342,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.984,5.182,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4343,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,0.984,3.353,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4344,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.059,1.414,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4345,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.665,3.247,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4346,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.665,3.513,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4347,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.059,5.157,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4348,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.665,2.004,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4349,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.059,1.736,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4350,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.665,2.955,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4351,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.665,5.617,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Premier Oil E&P UK Limited,PLU4352,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.665,1.731,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Repsol Sinopec Resources UK Limited,PLU4472,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,10,0.49,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
Repsol Sinopec Resources UK Limited,PLU4473,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,1.404,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
Repsol Sinopec Resources UK Limited,PLU2653,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.8,11.095,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Premier Oil E&P UK Limited,PLU2138,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.87,8.15,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Premier Oil E&P UK Limited,PLU2529,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.94,14.13,Yes,Yes,No,Chemicals,Trenched and Burried,Full Removal
EnQuest Heather Limited,PLU2580,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.425196875,0.3,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
EnQuest Heather Limited,PLU2580JSO,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.598425215,0.105,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
EnQuest Heather Limited,PLU2580JSG,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2.598425215,0.105,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
EnQuest Heather Limited,PLU2576JP4,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.507874048,0.075,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
EnQuest Heather Limited,PLU2575.1-25,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.507874048,0.4,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
EnQuest Heather Limited,PLU2576.1,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.507874048,0.01,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
EnQuest Heather Limited,PLU2576.2,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.507874048,4.162,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
EnQuest Heather Limited,PLU2576.3,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.507874048,0.01,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
EnQuest Heather Limited,PLU2585.1,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.507874048,0.01,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
EnQuest Heather Limited,PLU2585.2,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.507874048,2.6,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
EnQuest Heather Limited,PLU2585.3,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.507874048,0.01,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
NEO Energy (SNS) Limited,PLU2527,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.25,3.95,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
CNR International (U.K.) Limited,PLU1552,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.75,1.75,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
CNR International (U.K.) Limited,PLU1553,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.75,1.625,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
CNR International (U.K.) Limited,PLU1554.1-7,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.75,1.625,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
CNR International (U.K.) Limited,PLU4522,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,1.651,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
CNR International (U.K.) Limited,PLU2389,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,11,0.083,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
CNR International (U.K.) Limited,PLU2390,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,11,0.083,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
CNR International (U.K.) Limited,PLU2391,Umbilical,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,11,0.127,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
