Company Name,Structure,Type,Technical,Safety,Environmental,Societal,Cost,Weight,Size,Diameter,Length ,Metal,Plastic,Concrete,Residues,Position,Decision
Shell U.K. Limited,PL1979 (2),Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4,0.1,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
Shell U.K. Limited,PL1979 (3),Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,20,0.2,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Spirit Energy North Sea Limited,PL204,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,3.578,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Spirit Energy North Sea Limited,PL205,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,2,3.569,Yes,Yes,No,Chemicals,Trenched and Burried,Partial Removal
Neptune E&P UKCS Limited,PL3122GEW,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.858267717,0.08,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Neptune E&P UKCS Limited,PL3122GWW,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3.858267717,0.05,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Shell U.K. Limited,PL1451 (1.01),Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,,0.3,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Shell U.K. Limited,PL1451 (1.02),Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,,23,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Shell U.K. Limited,PL1454 (1.01),Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,,0.3,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Shell U.K. Limited,PL1454 (1.02),Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,,1.7,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Shell U.K. Limited,PL1454 (1.08),Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,,0.1,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Shell U.K. Limited,PL3568,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,,0.1,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Shell U.K. Limited,PL1454 (1.03),Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,,0.1,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Shell U.K. Limited,PL1726,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,,0.2,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
Shell U.K. Limited,PL3569,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,,0.1,Yes,Yes,No,Chemicals,Seabed Laid,Full Removal
ConocoPhillips (U.K.) Limited,PL161,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,139.2,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL134,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,10.9,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL1573,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,13.6,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL1574,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.1,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL2644,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,27.5,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL1465,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,3,0.03,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
ConocoPhillips (U.K.) Limited,PL1768,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,4.5,8.7,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Repsol Sinopec Resources UK Limited,PL252,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8,4.8,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Repsol Sinopec Resources UK Limited,PL2611,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8,0.081,Yes,Yes,No,Chemicals,Seabed Laid,Leave In-Situ
Ithaca Energy UK Limited,PL2559,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8,10.5,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
Ithaca Energy UK Limited,PL2560,Pipeline,Full Removal,Partial Removal,Full Removal,Full Removal,Leave In-Situ,,,8,0.8,Yes,Yes,No,Chemicals,Trenched and Burried,Leave In-Situ
